"Date","User","Domain","Sent Total","Sent MB Total","Received Total","Received MB Total","Sent Internal","Sent Internal MB","Sent External","Sent External MB","Received Internal","Received Internal MB","Received External","Received External MB","Sent Unique Total","Sent Unique MB Total","Sent Internal Unique","Sent Internal Unique MB","Sent External  Unique","Sent External Unique MB"
"8/5/2015","lbp","ecco.com","0","0.00","1","0.08","0","0.00","0","0.00","1","0.08","0","0.00","0","0.00","0","0.00","0","0.00"
"8/5/2015","MKK","ECCO.COM","0","0.00","10","0.48","0","0.00","0","0.00","2","0.01","8","0.46","0","0.00","0","0.00","0","0.00"
"8/5/2015","MB","ecco.com","0","0.00","27","3.94","0","0.00","0","0.00","1","0.07","26","3.86","1","0.03","1","0.03","0","0.00"
"8/5/2015","FAR","ECCO.COM","0","0.00","4","0.81","0","0.00","0","0.00","1","0.26","3","0.55","0","0.00","0","0.00","0","0.00"
"8/5/2015","YN","ECCO.COM","0","0.00","2","0.29","0","0.00","0","0.00","1","0.04","1","0.26","0","0.00","0","0.00","0","0.00"
"8/5/2015","wse","ecco.com","11","2.59","17","4.21","11","2.59","0","0.00","0","0.00","17","4.21","3","1.52","3","1.52","0","0.00"
"8/5/2015","SVB","ECCO.COM","31","1.29","4","0.53","27","1.03","4","0.26","0","0.00","4","0.53","11","0.42","11","0.42","2","0.22"
"8/5/2015","LMA","ecco.com","0","0.00","16","1.09","0","0.00","0","0.00","1","0.10","15","0.98","0","0.00","0","0.00","0","0.00"
"8/5/2015","EWH","ECCO.COM","0","0.00","4","1.41","0","0.00","0","0.00","1","0.01","3","1.40","0","0.00","0","0.00","0","0.00"
"8/5/2015","MicrosoftExchange329e71ec88ae4615bbc36ab6ce41109e","ecco.com","48","0.23","0","0.00","48","0.23","0","0.00","0","0.00","0","0.00","48","0.22","48","0.22","0","0.00"
"8/5/2015","AGTR","ECCO.COM","0","0.00","18","13.85","0","0.00","0","0.00","2","0.27","16","13.58","0","0.00","0","0.00","0","0.00"
"8/5/2015","avb","ecco.com","0","0.00","13","1.47","0","0.00","0","0.00","1","0.07","12","1.40","0","0.00","0","0.00","0","0.00"
"8/5/2015","NAD","ECCO.COM","0","0.00","2","0.29","0","0.00","0","0.00","2","0.29","0","0.00","0","0.00","0","0.00","0","0.00"
"8/5/2015","ROSA","ECCO.COM","0","0.00","2","0.06","0","0.00","0","0.00","1","0.01","1","0.05","0","0.00","0","0.00","0","0.00"
"8/5/2015","HARA","ecco.com","2","0.15","60","8.48","2","0.15","0","0.00","3","0.14","57","8.34","1","0.07","1","0.07","0","0.00"
"8/5/2015","bmo","ecco.com","0","0.00","4","0.52","0","0.00","0","0.00","1","0.32","3","0.19","0","0.00","0","0.00","0","0.00"
"8/5/2015","ao","ecco.com","6","0.50","16","3.68","6","0.50","0","0.00","1","0.08","15","3.59","0","0.00","0","0.00","0","0.00"
"8/5/2015","NIV","ECCO.COM","0","0.00","16","1.67","0","0.00","0","0.00","1","0.32","15","1.35","0","0.00","0","0.00","0","0.00"
"8/5/2015","JEBR","ECCO.COM","0","0.00","15","0.63","0","0.00","0","0.00","1","0.01","14","0.62","0","0.00","0","0.00","0","0.00"
"8/5/2015","AKUZ","ECCO.COM","1","0.01","9","1.16","1","0.01","0","0.00","0","0.00","9","1.16","1","0.01","1","0.01","0","0.00"
"8/5/2015","KRIS","ECCO.COM","1","0.01","4","0.22","1","0.01","0","0.00","0","0.00","4","0.22","1","0.01","1","0.01","0","0.00"
"8/5/2015","MYH","ECCO.COM","0","0.00","5","11.76","0","0.00","0","0.00","1","0.26","4","11.50","0","0.00","0","0.00","0","0.00"
"8/5/2015","IC","ecco.com","0","0.00","22","5.96","0","0.00","0","0.00","2","0.07","20","5.89","0","0.00","0","0.00","0","0.00"
"8/5/2015","adeg","ecco.com","0","0.00","12","7.77","0","0.00","0","0.00","1","0.00","11","7.76","0","0.00","0","0.00","0","0.00"
"8/5/2015","SUGS","ECCO.COM","0","0.00","5","2.79","0","0.00","0","0.00","1","0.26","4","2.53","0","0.00","0","0.00","0","0.00"
"8/5/2015","FFA","ECCO.COM","0","0.00","3","0.55","0","0.00","0","0.00","1","0.26","2","0.29","0","0.00","0","0.00","0","0.00"
"8/5/2015","mado","ecco.com","1","0.04","9","0.93","1","0.04","0","0.00","1","0.04","8","0.89","0","0.00","0","0.00","0","0.00"
"8/5/2015","WWAR","ECCO.COM","0","0.00","2","0.52","0","0.00","0","0.00","1","0.26","1","0.26","0","0.00","0","0.00","0","0.00"
"8/5/2015","NIHU","ECCO.COM","0","0.00","1","0.32","0","0.00","0","0.00","1","0.32","0","0.00","0","0.00","0","0.00","0","0.00"
"8/5/2015","pin","ecco.com","1","0.33","83","26.46","1","0.33","0","0.00","3","0.38","80","26.08","3","1.17","3","1.17","0","0.00"
"8/5/2015","BDI","ECCO.COM","0","0.00","6","5.90","0","0.00","0","0.00","1","0.10","5","5.79","0","0.00","0","0.00","0","0.00"
"8/5/2015","ime","ecco.com","0","0.00","38","18.92","0","0.00","0","0.00","1","0.08","37","18.83","0","0.00","0","0.00","0","0.00"
"8/5/2015","dtj","ecco.com","0","0.00","17","0.65","0","0.00","0","0.00","7","0.04","10","0.61","0","0.00","0","0.00","0","0.00"
"8/5/2015","MACA","ECCO.COM","4","0.16","1","0.06","3","0.16","1","0.00","1","0.06","0","0.00","4","0.15","3","0.15","1","0.00"
"8/5/2015","TRL","ECCO.COM","1","0.01","0","0.00","1","0.01","0","0.00","0","0.00","0","0.00","1","0.01","1","0.01","0","0.00"
"8/5/2015","SISU","ECCO.COM","0","0.00","14","2.00","0","0.00","0","0.00","1","0.26","13","1.74","0","0.00","0","0.00","0","0.00"
"8/5/2015","rm","ecco.com","0","0.00","8","15.84","0","0.00","0","0.00","3","0.26","5","15.58","0","0.00","0","0.00","0","0.00"
"8/5/2015","anr","ecco.com","0","0.00","5","0.04","0","0.00","0","0.00","4","0.03","1","0.00","0","0.00","0","0.00","0","0.00"
"8/5/2015","DK-BREDEBRO-C13","ecco.com","4","0.02","0","0.00","4","0.02","0","0.00","0","0.00","0","0.00","4","0.02","4","0.02","0","0.00"
